Input Device,Menu Type,Menu Depth,Target Item
Mouse,Marking,1,Clothing
Mouse,Radial,3,Jeans
Trackpad,Radial,1,Clothing
Trackpad,Marking,3,Jeans
Mouse,Radial,2,Shoes
Mouse,Radial,2,Africa
Mouse,Radial,2,Dairy
Mouse,Radial,2,Fruit
Mouse,Radial,2,Fruit
Mouse,Radial,3,Onion
Mouse,Radial,3,Pineapple
Mouse,Radial,3,Lizard
Mouse,Radial,3,Beret
Mouse,Radial,3,Goldfish
Mouse,Radial,1,Food
Mouse,Radial,1,Clothing
Mouse,Radial,1,Food
Mouse,Radial,1,Continents
Mouse,Radial,1,Animals
Mouse,Marking,2,Fruit
Mouse,Marking,2,Vegetables
Mouse,Marking,2,Asia
Mouse,Marking,2,Shoes
Mouse,Marking,2,Mammals
Mouse,Marking,3,Ham
Mouse,Marking,3,T-Shirt
Mouse,Marking,3,Beret
Mouse,Marking,3,Garlic
Mouse,Marking,3,Jeans
Mouse,Marking,1,Continents
Mouse,Marking,1,Food
Mouse,Marking,1,Clothing
Mouse,Marking,1,Animals
Mouse,Marking,1,Continents
Trackpad,Radial,2,Reptiles
Trackpad,Radial,2,America
Trackpad,Radial,2,Fish
Trackpad,Radial,2,Meat
Trackpad,Radial,2,Asia
Trackpad,Radial,3,Milk
Trackpad,Radial,3,Thailand
Trackpad,Radial,3,Hummingbird
Trackpad,Radial,3,Parrot
Trackpad,Radial,3,Singapore
Trackpad,Radial,1,Animals
Trackpad,Radial,1,Continents
Trackpad,Radial,1,Continents
Trackpad,Radial,1,Clothing
Trackpad,Radial,1,Continents
Trackpad,Marking,2,Shoes
Trackpad,Marking,2,Europe
Trackpad,Marking,2,Shoes
Trackpad,Marking,2,Europe
Trackpad,Marking,2,Europe
Trackpad,Marking,3,Dogs
Trackpad,Marking,3,Leggings
Trackpad,Marking,3,Leggings
Trackpad,Marking,3,Beret
Trackpad,Marking,3,Onion
Trackpad,Marking,1,Food
Trackpad,Marking,1,Continents
Trackpad,Marking,1,Food
Trackpad,Marking,1,Clothing
Trackpad,Marking,1,Clothing
