Input Device,Menu Type,Menu Depth,Target Item
Mouse,Marking,1,Clothing
Mouse,Radial,3,Jeans
Trackpad,Radial,1,Clothing
Trackpad,Marking,3,Jeans
Trackpad,Radial,3,Pineapple
Trackpad,Radial,3,Parrot
Trackpad,Radial,3,Potatoes
Trackpad,Radial,3,Onion
Trackpad,Radial,3,Mexico
Trackpad,Radial,1,Food
Trackpad,Radial,1,Animals
Trackpad,Radial,1,Food
Trackpad,Radial,1,Continents
Trackpad,Radial,1,Food
Trackpad,Radial,2,Fish
Trackpad,Radial,2,Europe
Trackpad,Radial,2,Asia
Trackpad,Radial,2,Birds
Trackpad,Radial,2,Europe
Trackpad,Marking,3,Pork
Trackpad,Marking,3,Penguin
Trackpad,Marking,3,Apple
Trackpad,Marking,3,Singapore
Trackpad,Marking,3,Orange
Trackpad,Marking,1,Animals
Trackpad,Marking,1,Animals
Trackpad,Marking,1,Animals
Trackpad,Marking,1,Animals
Trackpad,Marking,1,Clothing
Trackpad,Marking,2,Bottoms
Trackpad,Marking,2,America
Trackpad,Marking,2,Reptiles
Trackpad,Marking,2,Dairy
Trackpad,Marking,2,Bottoms
Mouse,Radial,3,Celery
Mouse,Radial,3,Kenya
Mouse,Radial,3,Sombrero
Mouse,Radial,3,Beef
Mouse,Radial,3,Parrot
Mouse,Radial,1,Animals
Mouse,Radial,1,Food
Mouse,Radial,1,Animals
Mouse,Radial,1,Animals
Mouse,Radial,1,Clothing
Mouse,Radial,2,Bottoms
Mouse,Radial,2,Africa
Mouse,Radial,2,Dairy
Mouse,Radial,2,Africa
Mouse,Radial,2,Meat
Mouse,Marking,3,France
Mouse,Marking,3,Tophat
Mouse,Marking,3,Hummingbird
Mouse,Marking,3,Zimbabwe
Mouse,Marking,3,France
Mouse,Marking,1,Clothing
Mouse,Marking,1,Clothing
Mouse,Marking,1,Continents
Mouse,Marking,1,Food
Mouse,Marking,1,Continents
Mouse,Marking,2,Fish
Mouse,Marking,2,Mammals
Mouse,Marking,2,Hats
Mouse,Marking,2,Hats
Mouse,Marking,2,Shoes
