Input Device,Menu Type,Menu Depth,Target Item
Mouse,Marking,1,Clothing
Mouse,Radial,3,Jeans
Trackpad,Radial,1,Clothing
Trackpad,Marking,3,Jeans
Trackpad,Radial,2,Reptiles
Trackpad,Radial,2,Tops
Trackpad,Radial,2,Fish
Trackpad,Radial,2,Fish
Trackpad,Radial,2,Vegetables
Trackpad,Radial,3,T-Shirt
Trackpad,Radial,3,Orange
Trackpad,Radial,3,Tophat
Trackpad,Radial,3,Nigeria
Trackpad,Radial,3,Sombrero
Trackpad,Radial,1,Food
Trackpad,Radial,1,Animals
Trackpad,Radial,1,Food
Trackpad,Radial,1,Continents
Trackpad,Radial,1,Clothing
Trackpad,Marking,2,Bottoms
Trackpad,Marking,2,Shoes
Trackpad,Marking,2,Vegetables
Trackpad,Marking,2,Hats
Trackpad,Marking,2,Hats
Trackpad,Marking,3,Malaysia
Trackpad,Marking,3,Tophat
Trackpad,Marking,3,Canada
Trackpad,Marking,3,Pork
Trackpad,Marking,3,Bacon
Trackpad,Marking,1,Food
Trackpad,Marking,1,Food
Trackpad,Marking,1,Food
Trackpad,Marking,1,Continents
Trackpad,Marking,1,Animals
Mouse,Radial,2,Tops
Mouse,Radial,2,Europe
Mouse,Radial,2,Africa
Mouse,Radial,2,Vegetables
Mouse,Radial,2,Asia
Mouse,Radial,3,Lizard
Mouse,Radial,3,Pineapple
Mouse,Radial,3,Penguin
Mouse,Radial,3,Coat
Mouse,Radial,3,Mexico
Mouse,Radial,1,Clothing
Mouse,Radial,1,Animals
Mouse,Radial,1,Clothing
Mouse,Radial,1,Continents
Mouse,Radial,1,Continents
Mouse,Marking,2,Meat
Mouse,Marking,2,Tops
Mouse,Marking,2,Dairy
Mouse,Marking,2,Birds
Mouse,Marking,2,Shoes
Mouse,Marking,3,Cheese
Mouse,Marking,3,Catfish
Mouse,Marking,3,T-Shirt
Mouse,Marking,3,Vest
Mouse,Marking,3,Spain
Mouse,Marking,1,Food
Mouse,Marking,1,Food
Mouse,Marking,1,Continents
Mouse,Marking,1,Food
Mouse,Marking,1,Continents
