Input Device,Menu Type,Menu Depth,Target Item
Mouse,Marking,1,Clothing
Mouse,Radial,3,Jeans
Trackpad,Radial,1,Clothing
Trackpad,Marking,3,Jeans
Mouse,Marking,2,Shoes
Mouse,Marking,2,Europe
Mouse,Marking,2,Fruit
Mouse,Marking,2,Europe
Mouse,Marking,2,Tops
Mouse,Marking,3,Ham
Mouse,Marking,3,Bacon
Mouse,Marking,3,Celery
Mouse,Marking,3,Penguin
Mouse,Marking,3,Heels
Mouse,Marking,1,Food
Mouse,Marking,1,Food
Mouse,Marking,1,Food
Mouse,Marking,1,Animals
Mouse,Marking,1,Clothing
Mouse,Radial,2,Reptiles
Mouse,Radial,2,Europe
Mouse,Radial,2,Africa
Mouse,Radial,2,Mammals
Mouse,Radial,2,Vegetables
Mouse,Radial,3,Kenya
Mouse,Radial,3,Hamsters
Mouse,Radial,3,Strawberry
Mouse,Radial,3,Mexico
Mouse,Radial,3,Jacket
Mouse,Radial,1,Food
Mouse,Radial,1,Continents
Mouse,Radial,1,Continents
Mouse,Radial,1,Food
Mouse,Radial,1,Animals
Trackpad,Marking,2,America
Trackpad,Marking,2,Tops
Trackpad,Marking,2,Fish
Trackpad,Marking,2,Europe
Trackpad,Marking,2,Dairy
Trackpad,Marking,3,Jeans
Trackpad,Marking,3,Butter
Trackpad,Marking,3,Spain
Trackpad,Marking,3,Jeans
Trackpad,Marking,3,Thailand
Trackpad,Marking,1,Animals
Trackpad,Marking,1,Animals
Trackpad,Marking,1,Clothing
Trackpad,Marking,1,Animals
Trackpad,Marking,1,Animals
Trackpad,Radial,2,Tops
Trackpad,Radial,2,Asia
Trackpad,Radial,2,Hats
Trackpad,Radial,2,Asia
Trackpad,Radial,2,Vegetables
Trackpad,Radial,3,Crocodile
Trackpad,Radial,3,Dogs
Trackpad,Radial,3,Skirt
Trackpad,Radial,3,Aligator
Trackpad,Radial,3,Owl
Trackpad,Radial,1,Clothing
Trackpad,Radial,1,Food
Trackpad,Radial,1,Animals
Trackpad,Radial,1,Animals
Trackpad,Radial,1,Continents
