Input Device,Menu Type,Menu Depth,Target Item
Mouse,Marking,1,Clothing
Mouse,Radial,3,Jeans
Trackpad,Radial,1,Clothing
Trackpad,Marking,3,Jeans
Trackpad,Radial,1,Animals
Trackpad,Radial,1,Food
Trackpad,Radial,1,Food
Trackpad,Radial,1,Animals
Trackpad,Radial,1,Animals
Trackpad,Radial,2,Dairy
Trackpad,Radial,2,Africa
Trackpad,Radial,2,Vegetables
Trackpad,Radial,2,Dairy
Trackpad,Radial,2,Reptiles
Trackpad,Radial,3,Malaysia
Trackpad,Radial,3,Owl
Trackpad,Radial,3,Carp
Trackpad,Radial,3,Tights
Trackpad,Radial,3,Thailand
Trackpad,Marking,1,Clothing
Trackpad,Marking,1,Food
Trackpad,Marking,1,Clothing
Trackpad,Marking,1,Animals
Trackpad,Marking,1,Continents
Trackpad,Marking,2,Birds
Trackpad,Marking,2,Tops
Trackpad,Marking,2,Hats
Trackpad,Marking,2,Meat
Trackpad,Marking,2,Bottoms
Trackpad,Marking,3,Carp
Trackpad,Marking,3,Hamsters
Trackpad,Marking,3,Thailand
Trackpad,Marking,3,Cap
Trackpad,Marking,3,T-Shirt
Mouse,Radial,1,Food
Mouse,Radial,1,Clothing
Mouse,Radial,1,Continents
Mouse,Radial,1,Animals
Mouse,Radial,1,Animals
Mouse,Radial,2,Fish
Mouse,Radial,2,Hats
Mouse,Radial,2,Shoes
Mouse,Radial,2,Hats
Mouse,Radial,2,Shoes
Mouse,Radial,3,Heels
Mouse,Radial,3,Mexico
Mouse,Radial,3,T-Shirt
Mouse,Radial,3,Orange
Mouse,Radial,3,Heels
Mouse,Marking,1,Continents
Mouse,Marking,1,Clothing
Mouse,Marking,1,Continents
Mouse,Marking,1,Clothing
Mouse,Marking,1,Continents
Mouse,Marking,2,Hats
Mouse,Marking,2,Meat
Mouse,Marking,2,Asia
Mouse,Marking,2,Vegetables
Mouse,Marking,2,Hats
Mouse,Marking,3,Catfish
Mouse,Marking,3,Brazil
Mouse,Marking,3,T-Shirt
Mouse,Marking,3,Aligator
Mouse,Marking,3,Slippers
