Input Device,Menu Type,Menu Depth,Target Item
Mouse,Marking,1,Clothing
Mouse,Radial,3,Jeans
Trackpad,Radial,1,Clothing
Trackpad,Marking,3,Jeans
Mouse,Radial,3,T-Shirt
Mouse,Radial,3,Pork
Mouse,Radial,3,T-Shirt
Mouse,Radial,3,Onion
Mouse,Radial,3,Sombrero
Mouse,Radial,1,Clothing
Mouse,Radial,1,Food
Mouse,Radial,1,Clothing
Mouse,Radial,1,Animals
Mouse,Radial,1,Animals
Mouse,Radial,2,Mammals
Mouse,Radial,2,Shoes
Mouse,Radial,2,Bottoms
Mouse,Radial,2,Africa
Mouse,Radial,2,Europe
Mouse,Marking,3,Canada
Mouse,Marking,3,Cheese
Mouse,Marking,3,Carp
Mouse,Marking,3,Hummingbird
Mouse,Marking,3,Owl
Mouse,Marking,1,Clothing
Mouse,Marking,1,Clothing
Mouse,Marking,1,Clothing
Mouse,Marking,1,Clothing
Mouse,Marking,1,Animals
Mouse,Marking,2,Mammals
Mouse,Marking,2,America
Mouse,Marking,2,America
Mouse,Marking,2,Africa
Mouse,Marking,2,Meat
Trackpad,Radial,3,Butter
Trackpad,Radial,3,Owl
Trackpad,Radial,3,Zimbabwe
Trackpad,Radial,3,Cats
Trackpad,Radial,3,Cheese
Trackpad,Radial,1,Food
Trackpad,Radial,1,Clothing
Trackpad,Radial,1,Clothing
Trackpad,Radial,1,Continents
Trackpad,Radial,1,Animals
Trackpad,Radial,2,Hats
Trackpad,Radial,2,Fish
Trackpad,Radial,2,America
Trackpad,Radial,2,America
Trackpad,Radial,2,Tops
Trackpad,Marking,3,USA
Trackpad,Marking,3,Potatoes
Trackpad,Marking,3,Celery
Trackpad,Marking,3,Pork
Trackpad,Marking,3,Milk
Trackpad,Marking,1,Animals
Trackpad,Marking,1,Clothing
Trackpad,Marking,1,Continents
Trackpad,Marking,1,Animals
Trackpad,Marking,1,Continents
Trackpad,Marking,2,Bottoms
Trackpad,Marking,2,Hats
Trackpad,Marking,2,Mammals
Trackpad,Marking,2,Vegetables
Trackpad,Marking,2,Vegetables
