Input Device,Menu Type,Menu Depth,Target Item
Mouse,Marking,1,Clothing
Mouse,Radial,3,Jeans
Trackpad,Radial,1,Clothing
Trackpad,Marking,3,Jeans
Trackpad,Marking,2,Tops
Trackpad,Marking,2,Tops
Trackpad,Marking,2,Tops
Trackpad,Marking,2,Dairy
Trackpad,Marking,2,Asia
Trackpad,Marking,3,Japan
Trackpad,Marking,3,Heels
Trackpad,Marking,3,Jacket
Trackpad,Marking,3,Orange
Trackpad,Marking,3,Strawberry
Trackpad,Marking,1,Food
Trackpad,Marking,1,Continents
Trackpad,Marking,1,Clothing
Trackpad,Marking,1,Clothing
Trackpad,Marking,1,Food
Trackpad,Radial,2,Bottoms
Trackpad,Radial,2,Fruit
Trackpad,Radial,2,America
Trackpad,Radial,2,Fish
Trackpad,Radial,2,Dairy
Trackpad,Radial,3,France
Trackpad,Radial,3,Shark
Trackpad,Radial,3,Tights
Trackpad,Radial,3,Lizard
Trackpad,Radial,3,Tophat
Trackpad,Radial,1,Clothing
Trackpad,Radial,1,Clothing
Trackpad,Radial,1,Clothing
Trackpad,Radial,1,Food
Trackpad,Radial,1,Food
Mouse,Marking,2,Bottoms
Mouse,Marking,2,Asia
Mouse,Marking,2,Shoes
Mouse,Marking,2,Shoes
Mouse,Marking,2,Fruit
Mouse,Marking,3,Strawberry
Mouse,Marking,3,Slippers
Mouse,Marking,3,Japan
Mouse,Marking,3,Malaysia
Mouse,Marking,3,Dogs
Mouse,Marking,1,Continents
Mouse,Marking,1,Animals
Mouse,Marking,1,Food
Mouse,Marking,1,Food
Mouse,Marking,1,Animals
Mouse,Radial,2,Fruit
Mouse,Radial,2,Dairy
Mouse,Radial,2,Asia
Mouse,Radial,2,Tops
Mouse,Radial,2,Hats
Mouse,Radial,3,Pineapple
Mouse,Radial,3,Carp
Mouse,Radial,3,Pineapple
Mouse,Radial,3,Coat
Mouse,Radial,3,Catfish
Mouse,Radial,1,Animals
Mouse,Radial,1,Food
Mouse,Radial,1,Animals
Mouse,Radial,1,Clothing
Mouse,Radial,1,Food
