Input Device,Menu Type,Menu Depth,Target Item
Mouse,Marking,1,Clothing
Mouse,Radial,3,Jeans
Trackpad,Radial,1,Clothing
Trackpad,Marking,3,Jeans
Trackpad,Marking,1,Animals
Trackpad,Marking,1,Food
Trackpad,Marking,1,Continents
Trackpad,Marking,1,Animals
Trackpad,Marking,1,Continents
Trackpad,Marking,2,Fruit
Trackpad,Marking,2,Mammals
Trackpad,Marking,2,Mammals
Trackpad,Marking,2,Mammals
Trackpad,Marking,2,Mammals
Trackpad,Marking,3,England
Trackpad,Marking,3,Orange
Trackpad,Marking,3,Strawberry
Trackpad,Marking,3,Garlic
Trackpad,Marking,3,Potatoes
Trackpad,Radial,1,Animals
Trackpad,Radial,1,Food
Trackpad,Radial,1,Clothing
Trackpad,Radial,1,Animals
Trackpad,Radial,1,Clothing
Trackpad,Radial,2,Birds
Trackpad,Radial,2,Mammals
Trackpad,Radial,2,Birds
Trackpad,Radial,2,Reptiles
Trackpad,Radial,2,Tops
Trackpad,Radial,3,Nigeria
Trackpad,Radial,3,Owl
Trackpad,Radial,3,Fox
Trackpad,Radial,3,Canada
Trackpad,Radial,3,Jacket
Mouse,Marking,1,Clothing
Mouse,Marking,1,Continents
Mouse,Marking,1,Food
Mouse,Marking,1,Animals
Mouse,Marking,1,Animals
Mouse,Marking,2,Birds
Mouse,Marking,2,Bottoms
Mouse,Marking,2,Vegetables
Mouse,Marking,2,Dairy
Mouse,Marking,2,Bottoms
Mouse,Marking,3,Congo
Mouse,Marking,3,Brazil
Mouse,Marking,3,Zimbabwe
Mouse,Marking,3,Yoghurt
Mouse,Marking,3,Parrot
Mouse,Radial,1,Animals
Mouse,Radial,1,Clothing
Mouse,Radial,1,Food
Mouse,Radial,1,Continents
Mouse,Radial,1,Animals
Mouse,Radial,2,Fish
Mouse,Radial,2,Tops
Mouse,Radial,2,Vegetables
Mouse,Radial,2,America
Mouse,Radial,2,Asia
Mouse,Radial,3,Vest
Mouse,Radial,3,Heels
Mouse,Radial,3,Orange
Mouse,Radial,3,Strawberry
Mouse,Radial,3,Canada
