Input Device,Menu Type,Menu Depth,Target Item
Mouse,Marking,1,Clothing
Mouse,Radial,3,Jeans
Trackpad,Radial,1,Clothing
Trackpad,Marking,3,Jeans
Trackpad,Marking,3,Hummingbird
Trackpad,Marking,3,Thailand
Trackpad,Marking,3,Slippers
Trackpad,Marking,3,Dogs
Trackpad,Marking,3,Mexico
Trackpad,Marking,1,Food
Trackpad,Marking,1,Clothing
Trackpad,Marking,1,Food
Trackpad,Marking,1,Clothing
Trackpad,Marking,1,Animals
Trackpad,Marking,2,Hats
Trackpad,Marking,2,Meat
Trackpad,Marking,2,Meat
Trackpad,Marking,2,Birds
Trackpad,Marking,2,Asia
Trackpad,Radial,3,Shark
Trackpad,Radial,3,Lizard
Trackpad,Radial,3,Snake
Trackpad,Radial,3,Potatoes
Trackpad,Radial,3,Sneakers
Trackpad,Radial,1,Food
Trackpad,Radial,1,Food
Trackpad,Radial,1,Continents
Trackpad,Radial,1,Food
Trackpad,Radial,1,Continents
Trackpad,Radial,2,Mammals
Trackpad,Radial,2,Tops
Trackpad,Radial,2,Bottoms
Trackpad,Radial,2,Mammals
Trackpad,Radial,2,Dairy
Mouse,Marking,3,Aligator
Mouse,Marking,3,Congo
Mouse,Marking,3,Aligator
Mouse,Marking,3,Zimbabwe
Mouse,Marking,3,Singapore
Mouse,Marking,1,Clothing
Mouse,Marking,1,Continents
Mouse,Marking,1,Food
Mouse,Marking,1,Clothing
Mouse,Marking,1,Animals
Mouse,Marking,2,Fish
Mouse,Marking,2,Fruit
Mouse,Marking,2,Fruit
Mouse,Marking,2,Tops
Mouse,Marking,2,Vegetables
Mouse,Radial,3,Malaysia
Mouse,Radial,3,Singapore
Mouse,Radial,3,Cheese
Mouse,Radial,3,Orange
Mouse,Radial,3,Spain
Mouse,Radial,1,Food
Mouse,Radial,1,Continents
Mouse,Radial,1,Food
Mouse,Radial,1,Continents
Mouse,Radial,1,Continents
Mouse,Radial,2,America
Mouse,Radial,2,Europe
Mouse,Radial,2,Fruit
Mouse,Radial,2,Bottoms
Mouse,Radial,2,Fish
