Input Device,Menu Type,Menu Depth,Target Item
Mouse,Marking,1,Clothing
Mouse,Radial,3,Jeans
Trackpad,Radial,1,Clothing
Trackpad,Marking,3,Jeans
Mouse,Marking,3,Apple
Mouse,Marking,3,Butter
Mouse,Marking,3,Jeans
Mouse,Marking,3,Milk
Mouse,Marking,3,Singapore
Mouse,Marking,1,Clothing
Mouse,Marking,1,Clothing
Mouse,Marking,1,Continents
Mouse,Marking,1,Food
Mouse,Marking,1,Clothing
Mouse,Marking,2,Shoes
Mouse,Marking,2,Vegetables
Mouse,Marking,2,Birds
Mouse,Marking,2,Reptiles
Mouse,Marking,2,Dairy
Mouse,Radial,3,Coat
Mouse,Radial,3,Butter
Mouse,Radial,3,Apple
Mouse,Radial,3,Germany
Mouse,Radial,3,Heels
Mouse,Radial,1,Food
Mouse,Radial,1,Animals
Mouse,Radial,1,Continents
Mouse,Radial,1,Animals
Mouse,Radial,1,Food
Mouse,Radial,2,Shoes
Mouse,Radial,2,Asia
Mouse,Radial,2,Birds
Mouse,Radial,2,Reptiles
Mouse,Radial,2,Europe
Trackpad,Marking,3,Brazil
Trackpad,Marking,3,Tophat
Trackpad,Marking,3,Owl
Trackpad,Marking,3,Snake
Trackpad,Marking,3,Japan
Trackpad,Marking,1,Animals
Trackpad,Marking,1,Food
Trackpad,Marking,1,Food
Trackpad,Marking,1,Continents
Trackpad,Marking,1,Food
Trackpad,Marking,2,Reptiles
Trackpad,Marking,2,Asia
Trackpad,Marking,2,Birds
Trackpad,Marking,2,Tops
Trackpad,Marking,2,Bottoms
Trackpad,Radial,3,Carp
Trackpad,Radial,3,Cap
Trackpad,Radial,3,Jacket
Trackpad,Radial,3,Hummingbird
Trackpad,Radial,3,Slippers
Trackpad,Radial,1,Clothing
Trackpad,Radial,1,Continents
Trackpad,Radial,1,Food
Trackpad,Radial,1,Clothing
Trackpad,Radial,1,Animals
Trackpad,Radial,2,Fruit
Trackpad,Radial,2,Shoes
Trackpad,Radial,2,Asia
Trackpad,Radial,2,Vegetables
Trackpad,Radial,2,Bottoms
